1	170
1	172
1	195
1	264
1	470
1	488
1	570
1	815
1	905
1	998
2	91
2	145
2	206
2	406
2	418
2	426
2	463
2	486
2	566
2	674
3	157
3	176
3	296
3	363
3	521
3	589
3	700
3	720
3	804
3	968
4	30
4	41
4	202
4	293
4	380
4	459
4	632
4	764
4	809
4	940
5	129
5	183
5	207
5	220
5	348
5	375
5	559
5	563
5	608
5	1000
6	115
6	122
6	147
6	172
6	178
6	324
6	354
6	452
6	914
6	995
7	29
7	202
7	278
7	283
7	330
7	607
7	725
7	864
7	961
7	998
8	111
8	260
8	307
8	369
8	428
8	439
8	496
8	795
8	842
8	921
9	44
9	88
9	135
9	242
9	380
9	516
9	543
9	551
9	642
9	810
10	224
10	265
10	467
10	477
10	523
10	536
10	568
10	609
10	733
10	897
11	58
11	99
11	104
11	144
11	222
11	228
11	267
11	554
11	629
11	896
12	77
12	108
12	319
12	450
12	512
12	617
12	627
12	699
12	749
12	758
13	25
13	260
13	291
13	501
13	512
13	524
13	562
13	572
13	758
13	950
14	156
14	216
14	466
14	511
14	519
14	703
14	807
14	814
14	921
14	950
15	23
15	39
15	87
15	90
15	159
15	367
15	373
15	447
15	461
15	965
16	149
16	405
16	438
16	457
16	546
16	726
16	771
16	825
16	941
16	949
17	69
17	179
17	219
17	374
17	475
17	608
17	690
17	793
17	880
17	943
18	32
18	139
18	275
18	367
18	630
18	741
18	782
18	847
18	868
18	890
19	108
19	404
19	450
19	496
19	511
19	512
19	597
19	650
19	733
19	842
20	53
20	90
20	205
20	320
20	384
20	417
20	500
20	625
20	662
20	772
21	51
21	169
21	194
21	252
21	314
21	328
21	382
21	671
21	742
21	781
22	33
22	342
22	383
22	407
22	490
22	774
22	839
22	848
22	932
22	973
23	15
23	249
23	579
23	752
23	782
23	843
23	942
23	945
23	957
23	965
24	39
24	282
24	420
24	626
24	667
24	705
24	722
24	789
24	924
24	953
25	13
25	61
25	113
25	433
25	456
25	530
25	562
25	821
25	879
25	989
26	73
26	147
26	245
26	432
26	470
26	640
26	779
26	857
26	863
26	991
27	41
27	64
27	497
27	551
27	590
27	670
27	742
27	809
27	854
27	935
28	105
28	145
28	151
28	211
28	343
28	396
28	530
28	767
28	778
28	988
29	7
29	264
29	318
29	568
29	664
29	749
29	770
29	800
29	917
29	975
30	4
30	88
30	118
30	265
30	360
30	515
30	616
30	621
30	731
30	733
31	59
31	72
31	626
31	639
31	646
31	667
31	789
31	794
31	797
31	987
32	18
32	87
32	372
32	438
32	505
32	573
32	688
32	710
32	738
32	843
33	22
33	76
33	291
33	340
33	345
33	526
33	535
33	833
33	839
33	924
34	86
34	137
34	177
34	309
34	535
34	622
34	626
34	667
34	839
34	981
35	66
35	97
35	123
35	161
35	353
35	479
35	698
35	844
35	858
35	993
36	198
36	213
36	307
36	349
36	376
36	468
36	471
36	627
36	639
36	938
37	44
37	202
37	484
37	509
37	677
37	689
37	731
37	781
37	935
37	990
38	136
38	147
38	163
38	179
38	444
38	633
38	790
38	816
38	955
38	984
39	15
39	24
39	100
39	296
39	400
39	645
39	654
39	688
39	884
39	957
40	45
40	58
40	128
40	167
40	185
40	246
40	322
40	640
40	831
40	969
41	4
41	27
41	188
41	536
41	569
41	632
41	679
41	781
41	837
41	998
42	66
42	81
42	161
42	286
42	469
42	502
42	760
42	785
42	911
42	916
43	121
43	247
43	251
43	256
43	270
43	776
43	914
43	963
43	968
43	972
44	9
44	37
44	88
44	169
44	188
44	194
44	277
44	592
44	809
44	897
45	40
45	103
45	117
45	153
45	185
45	218
45	241
45	294
45	742
45	867
46	165
46	204
46	458
46	479
46	657
46	716
46	785
46	830
46	902
46	946
47	236
47	382
47	532
47	549
47	592
47	729
47	781
47	834
47	870
47	976
48	162
48	240
48	289
48	432
48	570
48	586
48	608
48	779
48	857
48	975
49	177
49	309
49	310
49	383
49	462
49	525
49	617
49	641
49	789
49	956
50	231
50	238
50	365
50	449
50	611
50	772
50	899
50	927
50	947
50	994
51	21
51	95
51	143
51	285
51	360
51	380
51	497
51	658
51	810
51	882
52	62
52	212
52	213
52	243
52	519
52	605
52	606
52	704
52	754
52	758
53	20
53	107
53	317
53	500
53	625
53	752
53	786
53	919
53	934
53	994
54	100
54	116
54	133
54	138
54	506
54	574
54	630
54	645
54	677
54	937
55	100
55	128
55	218
55	401
55	421
55	553
55	575
55	709
55	762
55	944
56	352
56	367
56	372
56	373
56	645
56	688
56	730
56	847
56	868
56	942
57	389
57	482
57	517
57	539
57	656
57	674
57	811
57	926
57	960
57	985
58	11
58	40
58	119
58	123
58	167
58	228
58	241
58	308
58	322
58	419
59	31
59	268
59	387
59	388
59	399
59	408
59	526
59	565
59	672
59	692
60	139
60	304
60	630
60	662
60	756
60	843
60	874
60	890
60	945
60	957
61	25
61	150
61	468
61	539
61	562
61	627
61	707
61	849
61	950
61	989
62	52
62	160
62	291
62	371
62	471
62	512
62	656
62	712
62	745
62	799
63	323
63	375
63	386
63	457
63	510
63	529
63	559
63	711
63	802
63	943
64	27
64	168
64	288
64	344
64	376
64	539
64	597
64	699
64	795
64	849
65	97
65	136
65	248
